main_category_name,sub_category_name,ranking,title,org_price,dis_price,dis_percent
e쿠폰/티켓,ALL,10,[구글플레이](카드가능) 기프트코드 3만원 / 구글 기프트카드,"30,000원",,3%
e쿠폰/티켓,ALL,11,[구글플레이](카드가능) 기프트코드 1만원 / 구글 기프트카드,"10,000원",,3%
e쿠폰/티켓,ALL,12,(스마일클럽) 컬쳐랜드 문화상품권 1만원권,"10,000원",,5%
e쿠폰/티켓,ALL,13,(투썸플레이스) 스트로베리 초콜릿 생크림,"34,000원",,7%
e쿠폰/티켓,ALL,14,[해피머니](카드가능)(해피머니) 온라인상품권 5만원,"50,000원",,6%
e쿠폰/티켓,ALL,15,[에쓰오일](S-OIL) 모바일주유권 3만원/ 실시간발송/ 주유상품권,"30,000원",,2%
e쿠폰/티켓,ALL,16,[구글플레이](카드가능) 기프트코드 20만원 / 구글 기프트카드,"200,000원",,3%
컴퓨터/전자,ALL,2,윤남텍 간편세척 초음파 다목적 가습기/YN-101/G마켓,,,
컴퓨터/전자,ALL,3,부토 전기찜기 계란찜기 간편세척 NBE622W 다용도찜기,,,
컴퓨터/전자,ALL,4,[에브리봇]물걸레 로봇청소기 Edge (최종가 238200원),"292,000원",,15%
컴퓨터/전자,ALL,5,[비달사순]비달사순 2000W 전문가용 헤어드라이기 VSD5129K,,,
컴퓨터/전자,ALL,6,[샤오미]미워치/스마트워치/AMOLED/한글지원 혈중산소측정/블루,"159,800원",,10%
컴퓨터/전자,ALL,7,(행사) 블랙 AIRWATCH 스마트 워치 밴드 전자시계,"70,000원",,57%
컴퓨터/전자,ALL,8,[신일전자]2단 분리형 전기히터 SEH-G800 2중안전 시스템,"13,200원",,8%
컴퓨터/전자,ALL,9,무선 블루투스 5.0 이어폰 3개 1+1+1 LED,"29,500원",,7%
컴퓨터/전자,ALL,10,[샤오미]샤오미 Mi TV 스틱 글로벌버전 1080P(Full HD) 블랙,,,
컴퓨터/전자,ALL,11,[로지텍]로지텍 MX 인체공학 버티컬 마우스,,,
컴퓨터/전자,ALL,12,[일렉트로룩스]에르고라피도 18V 무선청소기 ZB3311AK +4종노즐확장팩,,,
컴퓨터/전자,ALL,13,[샤오미]샤오미 xinxiang 캡슐커피머신 mini S1201 샴페인골드,,,
컴퓨터/전자,ALL,14,[듀플렉스]듀플렉스 초음파 간편세척 가습기 2.0L DP-7750UH,"29,800원",,8%
컴퓨터/전자,ALL,15,르 꽁뜨 by 헤어 속볼륨 펌브러쉬,,,
컴퓨터/전자,ALL,16,곰표한일 워셔블 전기요 모음전 전기장판/매트/캠핑,"29,800원",,41%
컴퓨터/전자,ALL,17,[일월]숲속애 플러스 온수매트 싱글 / 에어로실버 2021년형,"95,000원",,8%
컴퓨터/전자,ALL,18,[유닉스]메탈티 무광블랙 1600W 헤어 드라이기 UN-A1610 접이식,"23,900원",,8%
스포츠/자동차,ALL,2,[스케쳐스][스케쳐스] 런닝화 고런패스트 SP0MR20Y051 4종택1,"48,300원",,23%
스포츠/자동차,ALL,3,[아디다스](신세계경기점)[RUNNING] 러닝화 (FY4321 FW6768 FV7034 EH1859 FX3625 FW3246),"45,000원",,21%
스포츠/자동차,ALL,4,[네파](신세계의정부점)네파 20FW 전지현 여성 노부스 구스다운 남성 베로나 덕다운자켓 7G82042 7G72057,"159,000원",,22%
스포츠/자동차,ALL,5,[해피데이]국내생산 공장직영 해피데이 포켓용 핫팩 D_100g_80ea,,,
스포츠/자동차,ALL,6,[휠라](신세계타임스퀘어점패션관)BEST 트랙탑/운동화 모음(FS2FTA4503M FS2JKA3007X FS1SIB1301X),"39,000원",,20%
스포츠/자동차,ALL,7,[리바디]리바디 데일리요가복/레깅스/ 베스트 아이템 모음전,"33,000원",,70%
스포츠/자동차,ALL,8,[안다르]안다르 새해맞이 윈터세일,"49,000원",,34%
스포츠/자동차,ALL,9,[휠라]크레마 보아 플리스 자켓 FS2PLC4101XCAL,,,
스포츠/자동차,ALL,10,[네파]네파 FW 인기 아우터 핫딜 + 다운/패딩/자켓/티셔츠,"450,000원",,70%
스포츠/자동차,ALL,11,[아디다스](신세계마산점)[ATHLETICS/TRAINING] 집업/팬츠/크루/후디 (DX7657 GE0435 DU0468 DQ3090 FT0540 FR6607...,"35,000원",,20%
스포츠/자동차,ALL,12,[머렐][머렐] 남성 웨이츠필드 롱 사파리다운자켓 5219JD431 432,"109,000원",,24%
스포츠/자동차,ALL,13,[코오롱스포츠][코오롱스포츠] 여성남성 롱다운자켓 누스타 JKJDW19572JWJDW19571IJS,"120,000원",,16%
스포츠/자동차,ALL,14,[아디다스오리지널](신세계강남점)[남여공용] 오즈위고 EE6999 아디다스 오리지날 재입고 운동화 런닝화 캐주얼화 트레이닝...,"129,000원",,22%
스포츠/자동차,ALL,15,[블랙야크]갤러리아  블랙야크 BN엣지다운  출고가 540 000원 여성 고어텍스 방한 방수,"134,100원",,18%
스포츠/자동차,ALL,16,[휠라]온라인단독  소프트 보아 플리스 FE2JKC6106XBEG,,,
스포츠/자동차,ALL,17,붙이는 핫팩 100매 파스형핫팩/안전인증/허리핫팩,"11,900원",,1%
스포츠/자동차,ALL,18,발뜨뜨 발열깔창 발핫팩 붙이는 깔창 핫팩 60종,,,
스포츠/자동차,ALL,19,방수3000/ANNEX 스키장갑/겨울장갑/방한장갑/아동장갑,"9,800원",,5%
스포츠/자동차,ALL,20,[아디다스오리지널](신세계강남점)(Unisex) 남여공용 오즈위고(EE6999_OZWEEGO),"129,000원",,22%
여행,ALL,2,|전남 진도군| 쏠비치 진도(대명/호텔/대명/대명리조트/쏠비치/쏠비치대명/가족여행/진도/쏠비치호텔),,,
여행,ALL,3,|강원 강릉시| 정동진 썬크루즈호텔(정동진호텔/정동진숙박/정동진썬크루즈호텔/정동진역호텔),,,
여행,ALL,4,롯데시티호텔 구로(서울 호텔/구로/금천/관악/동작),"64,800원",,1%
여행,ALL,5,아르떼 리조트 스파 풀빌라(경남 호텔/사천/남해/진주/함양),"109,000원",,2%
여행,ALL,6,씨크루즈호텔 속초(강원 호텔/속초/강릉/양양/고성),"72,250원",,1%
여행,ALL,7,2021 하이원리조트 리프트권~2020.3 (폐장일까지),,,
여행,ALL,8,|강원 삼척시| 쏠비치 삼척(대명/호텔/대명/대명리조트/쏠비치/쏠비치대명/가족여행/삼척/쏠비치호텔),,,
여행,ALL,9,노블피아 호텔(제주 호텔/서귀포/서귀포시/중문/표선/성산),"35,260원",,1%
여행,ALL,10,|충북 청주시| 그랜드 플라자 청주호텔(청주/청주호텔/청주특급호텔/청주숙박/청주비지니스호텔),,,
여행,ALL,11,(공식판매처) 에버랜드 겨울방학 기간한정 종일권/야간권(1/1~2/28),"44,000원",,54%
여행,ALL,12,|강원 홍천군| 소노벨 비발디파크 ( 구 대명리조트 비발디파크)(비발디파크/대명비발디/더파크호텔),,,
여행,ALL,13,강원 정선군|정선 메이힐스 리조트,,,
여행,ALL,14,랜딩관 제주신화월드 호텔앤리조트(제주 호텔/서귀포/서귀포시/중문/표선/성산),"110,000원",,2%
여행,ALL,15,호텔 레인보우(경남 호텔/창녕/창원/김해),"80,000원",,2%
여행,ALL,16,부산 녹천온천호텔(부산 호텔/동래/서면/연제/남구),"70,000원",,2%
여행,ALL,17,|경북 청송군| 소노벨 청송 (구 대명리조트 청송)(소노벨/ 소노벨청송/ 대명리조트 청송/소노브랜드),,,
여행,ALL,18,메이브리즈풀빌라(경북 펜션/경주),"89,100원",,1%
도서/음반,ALL,2,(시매쓰) 빨라지고 강해지는 이것이 도형이다 세트 선택구매/빨강도형,"66,000원",,50%
도서/음반,ALL,3,브리타 테큰트럽 베스트 3권 사자(미용실/파티/이런옷) 4권(달/바다/꿀벌/사계절) 세트별 선택구매,"53,000원",,11%
도서/음반,ALL,4,이젠교육 또래퀴즈 (전4권) : 초등생을 위한 지식 퀴즈백과,,,
도서/음반,ALL,5,용선생의 시끌벅적 한국사 10권세트 스페셜판,,,
도서/음반,ALL,6,다산에듀 다빈치 AI/다빈치 AI+인크레더블 코딩/코딩맨 엔트리/ 한솔수북오딩가 코딩가 세트별 선택구매,"106,000원",,9%
도서/음반,ALL,7,시매쓰  빨라지고 강해지는 이것이 연산이다 A~F단계 세트 선택구매(전4권),"56,000원",,50%
도서/음반,ALL,8,(대교 꿈꾸는달팽이) 카카오 리틀프렌즈 사운드 토이북 전7종 (선택구매),,,
도서/음반,ALL,9,[창비]창비아하 한글 만들기 1~5권 + 배우기 1~4권 세트(전 9권),"96,000원",,10%
도서/음반,ALL,10,출판사연합 이유식 책 6종 선택구매(3만원 이상 무료배송),"31,000원",,9%
도서/음반,ALL,11,[창비]창비 아하 한글 1단계 ~ 3단계 세트별 선택구매,"36,000원",,19%
도서/음반,ALL,12,(동아) 초능력6-7세 시리즈 선택구매,,,
도서/음반,ALL,13,진선아이 한눈에 펼쳐보는그림책 시리즈 전5권,,,
도서/음반,ALL,14,leap learn 리딩 라이브 시리즈 선택구매,"28,000원",,35%
도서/음반,ALL,15,Write Right or Write It / Beginner Paragraph to Essay /세트 선택구매,"142,500원",,50%
도서/음반,ALL,16,[김영사]출판사 연합유주맘 pick 육아서 7종 낱권 선택구매,"36,000원",,48%
도서/음반,ALL,17,천재가 되다 시리즈10종/ 슬기로운 방학생활 2종 선택구매(최신간 포함),"26,000원",,7%
ALL,ALL,43,[바다원]바다원 초이스굿 돌김자반 40gx10 쿠폰가 7900원,"13,300원",,33%
ALL,ALL,44,[안다르]안다르 이태리 원사 기모 레깅스 특가,"39,000원",,38%
ALL,ALL,45,[세타필]세타필 대용량 로션 2개+크림 1개(473ml+473ml+453g),,,
ALL,ALL,46,[레이지카키]레이지카키 신상품  여성 벨벳 코듀로이 릴렉스 팬,"49,900원",,5%
ALL,ALL,47,[오뚜기밥]맛있는 오뚜기밥 210g 24개,"33,000원",,39%
ALL,ALL,48,스쿨파닉스 1~4 (세이펜버전) 교재/워크북/파닉스블록 세트 선택구매,"72,000원",,7%
ALL,ALL,49,[종근당건강]슈퍼비젼 멀티비타민 비타민 종합비타민 2병 12개월분,"22,000원",,9%
ALL,ALL,50,부산갈매기 어묵 야채혼합 사각어묵 2.8kg 대단량,"21,800원",,50%
ALL,ALL,51,[매스티안]매스티안팩토슐레 MATH 교재 L. 1~3세트 선택구매,"56,000원",,8%
ALL,ALL,52,[너구리]얼큰한너구리 멀티5개입 X 8개 총40개,"32,900원",,24%
ALL,ALL,53,[롯데푸드]가나초콜릿밀크190ml x24팩,"15,300원",,28%
ALL,ALL,54,용선생의 시끌벅적 한국사 10권세트 스페셜판,,,
ALL,ALL,55,[아침농산]국산 찰보리 500g x 4개 2020년산 햇곡,"6,500원",,30%
ALL,ALL,56,뼈없는 직화불닭발 150g x 3팩 (총 450g),"14,000원",,15%
ALL,ALL,57,[팸퍼스]팸퍼스 베이비드라이 5단계 팬티형기저귀 36p 4팩,"74,900원",,26%
ALL,ALL,58,[무료배송] 햇반 210g 24입 21 900원 특가 ,,,
ALL,ALL,59,[고래사어묵]프리미엄 어묵세트,"43,900원",,10%
ALL,ALL,60,두두스토리4-7세 그림자 극장 명작 전래 60권 세트,"400,000원",,11%
ALL,ALL,61,[맥심]모카골드 커피믹스 160T+160T : 쿠폰가 30890원 ~,"46,000원",,24%
가구/침구,ALL,2,보드라운 호텔식 헝가리산 거위털이불(슈퍼싱글/퀸),"89,900원",,61%
가구/침구,ALL,3,[이노하우스]한파특가 프리미엄 규조토 발매트 정품 욕실매트,"25,000원",,64%
가구/침구,ALL,4,뷰하우스 4계절 암막커튼1+1(2장),"46,000원",,64%
가구/침구,ALL,5,(1+1) 3중직 암막커튼/린넨/커텐/거실/창문/방풍,"32,000원",,50%
가구/침구,ALL,6,(1+1)방풍 방한 겨울 암막커튼 거실 창문 커튼봉 커텐,"46,000원",,69%
가구/침구,ALL,7,[주호데코]여울 피그먼트 누빔패드 겸 이불/ 주호데코,"25,900원",,9%
가구/침구,ALL,8,제이준리빙 마카롱 매트리스커버/방수패드 6COLOR,"24,000원",,59%
가구/침구,ALL,9,[비트백]액자형 DIY 보석십자수 명화그리기/비즈/그림/큐빅,"21,800원",,11%
가구/침구,ALL,10,[담아드림]담아드림 시즌2  특허받은 분리수거함+롤백 1년치(4,,,
가구/침구,ALL,11,[리바트온라인]리바트온라인 꼼므 1200 아이책상 + 유아의자,"226,000원",,42%
가구/침구,ALL,12,겨울 양털 따뜻한 마약 매트리스 기절 토퍼 싱글 S,"28,900원",,17%
가구/침구,ALL,13,[이노하우스]사계절 접착식 단열벽지 20/10M 정품 보냉보온 시트지,"85,000원",,70%
가구/침구,ALL,14,일루션 암막커튼 베스트셀러전,"24,000원",,29%
생활/주방/건강,ALL,2,[릴리유]릴리유 퓨어퍼플 물티슈 캡72매X10팩(1BOX),"30,900원",,45%
생활/주방/건강,ALL,3,램프쿡 자동회전냄비 풀세트,"109,000원",,8%
생활/주방/건강,ALL,4,국내생산 브이비 일회용 마스크 안심차단 블랙 100매,"11,900원",,8%
생활/주방/건강,ALL,5,[페브리즈]페브리즈 항균플러스 깨끗한향 370ml 3개,"22,800원",,40%
생활/주방/건강,ALL,6,KF94 국산 마스크 100매 식약처인증 의약외품 개별포장,,,
생활/주방/건강,ALL,7,센스물티슈 악어 캡형 100매 10팩+10팩 / 한장씩톡톡,"27,800원",,50%
생활/주방/건강,ALL,8,[홈스타]홈스타 바르는 곰팡이 싹 120ml 4개,"17,900원",,39%
생활/주방/건강,ALL,9,[페리오]칫솔 페리오 토탈케어(미세모) 칫솔 10+10입,"10,900원",,
생활/주방/건강,ALL,10,스마일케이 KF94 입체형 마스크 대형 100매,"21,500원",,7%
생활/주방/건강,ALL,11,[생활공작소]생활공작소 고무장갑 5입(그레이 베이지) M 천연라텍스,"12,160원",,10%
생활/주방/건강,ALL,12,[아이러브베베]아이러브베베물티슈핑크100매캡형X20팩,"31,900원",,56%
생활/주방/건강,ALL,13,[크리넥스]크리넥스 3겹 데코소프트 33MX24롤 X2팩화장지/휴지,"57,900원",,43%
생활/주방/건강,ALL,14,NEW땡큐 화장지 (30롤 x 2팩) / 3겹 두루마리 휴지,"30,000원",,67%
생활/주방/건강,ALL,15,[키즈마루]국산 3중 비말차단 마스크 300매 KF-AD MB필터 마스크,"20,000원",,10%
생활/주방/건강,ALL,16,국내산 KF94 마스크 100매 개별포장 대형 식약처 인증,"26,200원",,1%
생활/주방/건강,ALL,17,엑켈란 변기세정제 변기크리너 45g 60개입/욕실,"25,000원",,50%
생활/주방/건강,ALL,18,과탄산소다 특대용량 7kg  / 산소계 표백제,"30,000원",,63%
식품,ALL,1,[코카콜라]코크제로355ml캔 24입,"20,900원",,3%
화장품/헤어,ALL,1,[세타필]세타필 대용량1+1(로션 473ml+로션 473ml),,,
신발/잡화,ALL,1,[스케쳐스]남여 슬립온 워킹화 고워크5 폴딩 3종택1 SP0WW20S111-100L,"60,000원",,21%
패션의류,ALL,1,[지오다노]지오다노 신년세일 인기 푸파/경량/테리~80%OFF,"130,000원",,70%
e쿠폰/티켓,ALL,17,[에그머니](카드가능)(에그머니) 온라인 게임상품권 3만원,"30,000원",,10%
e쿠폰/티켓,ALL,18,[홈플러스](홈플러스) 홈플러스 상품권 모바일 교환권 10만원권,"100,000원",,2%
e쿠폰/티켓,ALL,19,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드)(PIN발송) 온라인상품권 5만원,"50,000원",,3%
e쿠폰/티켓,ALL,20,[구글플레이](카드가능) 기프트코드 1만 5천원 / 구글 기프트카드,"15,000원",,3%
e쿠폰/티켓,ALL,21,[에쓰오일](S-OIL) 모바일주유권 5만원권,"50,000원",,2%
e쿠폰/티켓,ALL,22,[해피머니](카드가능)(해피머니) 온라인상품권 3만원,"30,000원",,6%
e쿠폰/티켓,ALL,23,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권1천원권(ID바로충전),"1,000원",,3%
e쿠폰/티켓,ALL,24,[파리바게뜨]파바 NEW 모바일 3만원권,,,
e쿠폰/티켓,ALL,25,[로제타스톤]뉴 로제타스톤 (1번 구매로) 24개 언어 무제한 평생 학습권,"699,000원",,61%
e쿠폰/티켓,ALL,26,[구글플레이](카드가능) 기프트코드 5천원 / 구글 기프트카드,"5,000원",,3%
e쿠폰/티켓,ALL,27,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권1만원권(ID바로충전),"10,000원",,3%
e쿠폰/티켓,ALL,28,[컬쳐랜드문화상품권](편의점통합) 모바일금액권 3만원/ 캐쉬충전불가,"30,000원",,5%
컴퓨터/전자,ALL,19,[디오스]LG DIOS 식기세척기 DFB22W 12인용 스팀 자동문열림,"1,122,470원",,10%
컴퓨터/전자,ALL,20,[삼성전자]공식파트너)삼성 세라믹 전자레인지 MS23K3513AK,"100,000원",,9%
컴퓨터/전자,ALL,21,[피스넷]욕실 벽걸이 전기 온풍기 피스넷 바스히터 2021 신제품,"73,570원",,4%
컴퓨터/전자,ALL,22,[로지텍]로지텍G G102 2세대 마우스 벌크 병행,"21,800원",,2%
컴퓨터/전자,ALL,23,[로지텍]로지텍코리아 K380 블루투스 키보드 퓨어화이트 /456,"36,730원",,5%
컴퓨터/전자,ALL,24,[삼성전자]인증점 삼성 진공 청소기 VC33M2110LP  (7%중복쿠폰),"92,190원",,8%
컴퓨터/전자,ALL,25,1+1 (화+핑) 미니 무선 가습기 더블미스트 초음파,"70,000원",,57%
컴퓨터/전자,ALL,26,[코끼리리빙]코끼리리빙 높이조절 태블릿 핸드폰 거치대 SIZE 대,,,
컴퓨터/전자,ALL,27,[에어메이드]에어메이드 9L 복합식 가습기 AMH-9000,,,
컴퓨터/전자,ALL,28,플리커 써큘레이터형 PTC 온풍기 FI-PH0012,"36,600원",,7%
컴퓨터/전자,ALL,29,[알로코리아]1+1 듀얼 고속충전기 12W UC201 아이폰 갤럭시 정품,,,
컴퓨터/전자,ALL,30,[illi]일리 프란시스 커피머신 Y3.3 화이트 + 시음캡슐 14개,"127,900원",,5%
컴퓨터/전자,ALL,31,[AK기획]IVOW 충전식 무선 온수찜질기 CES-H01,,,
컴퓨터/전자,ALL,32,[아이디어패드]SLIM5-14ITL 5D M16 11세대i5-16GB-MX450,"945,160원",,6%
컴퓨터/전자,ALL,33,[크리스탈실버]NB정품 F100A-블랙 모니터암 거치대 35인치/12kg 거치,"32,900원",,3%
컴퓨터/전자,ALL,34,[삼성전자]인증점 삼성 전자레인지 MS23K3513AW 23L (7%중복쿠폰),"108,790원",,17%
컴퓨터/전자,ALL,35,[대우]대우 보온 저당밥솥 3-4인용 DEC-DT300 탄수화물 감소,,,
컴퓨터/전자,ALL,36,[한성컴퓨터]TFX5450UC/울트라북/르누아르/라이젠 4500U,"751,610원",,6%
도서/음반,시/소설,1,그런 사람 또 없습니다 : 원태연 필사시집  원태연,,,
유아동/출산,ALL,1,[릴리유]릴리유 퓨어퍼플 물티슈 캡72매X10팩(1BOX),"30,900원",,45%
생활/주방/건강,마스크(성인/유아동),1,브레스마스크 KF-94 대형 / 100매입,,,
스포츠/자동차,ALL,21,마이크로킥보드_맥시T 디럭스 LED (색상선택),"234,000원",,5%
스포츠/자동차,ALL,22,[핫앤핫]따끈따끈 2020최신제조 핫앤핫 핫팩/대용량/붙이는,,,
스포츠/자동차,ALL,23,[머렐](대구신세계)머렐 아나스타샤 여성  GOLD 구스 벤치다운 웨이츠필드 남성 사파리 DUCK다운   5219JD465 ...,"109,000원",,27%
스포츠/자동차,ALL,24,[밀레]밀레 남여 플리스 자켓/기모상하세트/다운外 특가전,"131,500원",,39%
스포츠/자동차,ALL,25,[휠라]크레마 보아 플리스 자켓 FS2PLC4101XIPK,,,
스포츠/자동차,ALL,26,[휠라]온라인단독  3단 배색 보아 자켓 FE2JKC6105XRED,,,
여행,ALL,19,엘리시안 강촌 20/21 리프트+렌탈패키지(~02.20),,,
여행,ALL,20,"|인천 호텔| 리베라베리움호텔 영종 (인천공항,을왕리)",,,
여행,ALL,21,전남 여수시|여수 베네치아 호텔&리조트,,,
여행,ALL,22,경주월드 01월 자유이용권 종일권/오후3시권+스노우파크,,,
여행,ALL,23,"|전북 리조트| 무주 나봄리조트 (남원,임실,순창,무주,진안,장수)",,,
여행,ALL,24,호텔 센트럴베이(부산 호텔/수영/광안리/기장),"69,000원",,2%
여행,ALL,25,"|강원 호텔| 스카이베이 호텔 경포 (경포대,사천,주문진,정동진)",,,
여행,ALL,26,디그니티 호텔(강원 호텔/양양/동해/고성/삼척),"90,000원",,2%
여행,ALL,27,|강원 양양군| 쏠비치 양양(온라인박람회/온라인 박람회/박람회/여행박람회/대명/호텔/대명/대명리조트),,,
여행,ALL,28,"|전남 리조트| 쏠비치 진도 리조트 (해남,완도,진도,강진,장흥,보성,고흥)",,,
