"","apt_price","area_m2","floor_no","year_built","ym_sale","day_sale","urban","price_pyung","yr_built","yr_built2","season","urban2"
"7964",18850,84.573,14,2006,201810,3,"¿æ",735.51842786705,"2000s","New","∞°¿ª","≥Û√Ã"
"7965",14750,59.958,11,2006,201810,6,"¿æ",811.818272790954,"2000s","New","∞°¿ª","≥Û√Ã"
"7966",18000,84.573,4,2006,201810,6,"¿æ",702.351814408854,"2000s","New","∞°¿ª","≥Û√Ã"
"7967",13200,59.958,3,2006,201810,6,"¿æ",726.508555989192,"2000s","New","∞°¿ª","≥Û√Ã"
"7968",23000,129.851,18,2006,201810,7,"¿æ",584.516099221415,"2000s","New","∞°¿ª","≥Û√Ã"
"7969",17500,84.573,2,2006,201810,13,"¿æ",682.842041786386,"2000s","New","∞°¿ª","≥Û√Ã"
"7970",14450,59.958,1,2006,201810,16,"¿æ",795.30671470029,"2000s","New","∞°¿ª","≥Û√Ã"
"7971",13000,59.958,1,2006,201810,22,"¿æ",715.500850595417,"2000s","New","∞°¿ª","≥Û√Ã"
"7972",25000,129.851,6,2006,201810,26,"¿æ",635.343586110234,"2000s","New","∞°¿ª","≥Û√Ã"
"7973",24700,129.851,15,2006,201811,1,"¿æ",627.719463076911,"2000s","New","∞°¿ª","≥Û√Ã"
"7974",14300,59.958,9,2006,201811,2,"¿æ",787.050935654958,"2000s","New","∞°¿ª","≥Û√Ã"
"7975",17000,59.958,10,2006,201811,5,"¿æ",935.65495847093,"2000s","New","∞°¿ª","≥Û√Ã"
"7976",17500,84.573,4,2006,201811,21,"¿æ",682.842041786386,"2000s","New","∞°¿ª","≥Û√Ã"
"7977",26700,129.851,8,2006,201811,21,"¿æ",678.54694996573,"2000s","New","∞°¿ª","≥Û√Ã"
"7978",13400,59.958,4,2006,201812,7,"¿æ",737.516261382968,"2000s","New","∞‹øÔ","≥Û√Ã"
"7979",18000,84.573,9,2006,201812,7,"¿æ",702.351814408854,"2000s","New","∞‹øÔ","≥Û√Ã"
"7980",17900,84.573,4,2006,201812,22,"¿æ",698.44985988436,"2000s","New","∞‹øÔ","≥Û√Ã"
"7981",17000,84.573,13,2006,201901,3,"¿æ",663.332269163918,"2000s","New","∞‹øÔ","≥Û√Ã"
"7982",17500,84.573,13,2006,201901,9,"¿æ",682.842041786386,"2000s","New","∞‹øÔ","≥Û√Ã"
"7983",16100,84.573,2,2006,201901,15,"¿æ",628.214678443475,"2000s","New","∞‹øÔ","≥Û√Ã"
"7984",24300,129.851,15,2006,201901,16,"¿æ",617.553965699148,"2000s","New","∞‹øÔ","≥Û√Ã"
"7985",19000,108.453,4,2006,201901,22,"¿æ",578.130618793394,"2000s","New","∞‹øÔ","≥Û√Ã"
"7986",17000,84.573,13,2006,201901,24,"¿æ",663.332269163918,"2000s","New","∞‹øÔ","≥Û√Ã"
"7987",13000,59.958,1,2006,201901,24,"¿æ",715.500850595417,"2000s","New","∞‹øÔ","≥Û√Ã"
"7988",17000,84.573,13,2006,201901,31,"¿æ",663.332269163918,"2000s","New","∞‹øÔ","≥Û√Ã"
"7989",19400,84.573,6,2006,201902,1,"¿æ",756.979177751765,"2000s","New","∞‹øÔ","≥Û√Ã"
